classificacao,sentenca,sentenca_processada1,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
1.0,"Este detalhe (que não é ""detalhe"") só COMPROVA que quem está à frente, não possui compromisso com a verdadeira Justiça.","Este detalhe (que não é ""detalhe"") só COMPROVA que quem está à frente, não possui compromisso com a verdadeira Justiça.",Este detalhe que não é detalhe só COMPROVA que quem está à frente não possui compromisso com a verdadeira Justiça,Este detalhe que nao e detalhe so COMPROVA que quem esta a frente nao possui compromisso com a verdadeira Justica,Este detalhe detalhe COMPROVA frente possui compromisso verdadeira Justica,este detalhe detalhe comprova frente possui compromisso verdadeira justica,est detalh detalh comprov frent possu compromiss verd jus
1.0,"Querem ""fazer"" justiça sob encomenda - vergonhoso !!","Querem ""fazer"" justiça sob encomenda - vergonhoso !!",Querem fazer justiça sob encomenda  vergonhoso ,Querem fazer justica sob encomenda  vergonhoso ,Querem fazer justica sob encomenda vergonhoso,querem fazer justica sob encomenda vergonhoso,quer faz jus sob encomend vergonh
1.0,"Que tal fazer as coisas certas, agora ?!","Que tal fazer as coisas certas, agora ?!",Que tal fazer as coisas certas agora ,Que tal fazer as coisas certas agora ,Que tal fazer coisas certas agora,que tal fazer coisas certas agora,que tal faz cois cert agor
1.0,"Partiram para o ataque com pedras, frutas, pet com água, ovos, galhos e etc.","Partiram para o ataque com pedras, frutas, pet com água, ovos, galhos e etc.",Partiram para o ataque com pedras frutas pet com água ovos galhos e etc,Partiram para o ataque com pedras frutas pet com agua ovos galhos e etc,Partiram ataque pedras frutas pet agua ovos galhos etc,partiram ataque pedras frutas pet agua ovos galhos etc,part ataqu pedr frut pet agu ovo galh etc
1.0,Estão apoiando o Pai?,Estão apoiando o Pai?,Estão apoiando o Pai,Estao apoiando o Pai,Estao apoiando Pai,estao apoiando pai,esta apoi pai
0.0,"Quando um funcionário traz prejuízo para uma empresa, ele é demitido.","Quando um funcionário traz prejuízo para uma empresa, ele é demitido.",Quando um funcionário traz prejuízo para uma empresa ele é demitido,Quando um funcionario traz prejuizo para uma empresa ele e demitido,Quando funcionario traz prejuizo empresa demitido,quando funcionario traz prejuizo empresa demitido,qu funcionari traz prejuiz empr demit
0.0,"Da mesma forma, o chefe do executivo não é dono do país, é um empregado dos brasileiros, e pelo fato de ser incompetente e ter causado todo o problema econômico que estamos, é passível de ser demitida, ou no caso, ser afastada, no mínimo, por incompetência.","Da mesma forma, o chefe do executivo não é dono do país, é um empregado dos brasileiros, e pelo fato de ser incompetente e ter causado todo o problema econômico que estamos, é passível de ser demitida, ou no caso, ser afastada, no mínimo, por incompetência.",Da mesma forma o chefe do executivo não é dono do país é um empregado dos brasileiros e pelo fato de ser incompetente e ter causado todo o problema econômico que estamos é passível de ser demitida ou no caso ser afastada no mínimo por incompetência,Da mesma forma o chefe do executivo nao e dono do pais e um empregado dos brasileiros e pelo fato de ser incompetente e ter causado todo o problema economico que estamos e passivel de ser demitida ou no caso ser afastada no minimo por incompetencia,Da mesma forma chefe executivo dono pais empregado brasileiros fato ser incompetente ter causado todo problema economico passivel ser demitida caso ser afastada minimo incompetencia,da mesma forma chefe executivo dono pais empregado brasileiros fato ser incompetente ter causado todo problema economico passivel ser demitida caso ser afastada minimo incompetencia,da mesm form chef execu don pal empreg brasil fat ser incompet ter caus tod problem econom passi ser demit cas ser afast min incompetenc
0.0,"Não gostava do barbudo também, mas nunca cogitei impeachment no governo dele.","Não gostava do barbudo também, mas nunca cogitei impeachment no governo dele.",Não gostava do barbudo também mas nunca cogitei impeachment no governo dele,Nao gostava do barbudo tambem mas nunca cogitei impeachment no governo dele,Nao gostava barbudo nunca cogitei impeachment governo,nao gostava barbudo nunca cogitei impeachment governo,nao gost barbud nunc cogit impeachment govern
0.0,"Agora no seu governo, senhora, a corrupção está afundando nosso país.","Agora no seu governo, senhora, a corrupção está afundando nosso país.",Agora no seu governo senhora a corrupção está afundando nosso país,Agora no seu governo senhora a corrupcao esta afundando nosso pais,Agora governo senhora corrupcao afundando pais,agora governo senhora corrupcao afundando pais,agor govern senh corrupca afund pal
0.0,"Não existe emprego, inflação a dois dígitos, carga tributária de Noruega e serviços a população de Zimbábue.","Não existe emprego, inflação a dois dígitos, carga tributária de Noruega e serviços a população de Zimbábue.",Não existe emprego inflação a dois dígitos carga tributária de Noruega e serviços a população de Zimbábue,Nao existe emprego inflacao a dois digitos carga tributaria de Noruega e servicos a populacao de Zimbabue,Nao existe emprego inflacao dois digitos carga tributaria Noruega servicos populacao Zimbabue,nao existe emprego inflacao dois digitos carga tributaria noruega servicos populacao zimbabue,nao exist empreg inflaca doi digit carg tribut norueg serv populaca zimbabu
0.0,E ainda quer mais imposto?,E ainda quer mais imposto?,E ainda quer mais imposto,E ainda quer mais imposto,E ainda quer imposto,e ainda quer imposto,e aind qu impost
0.0,Pra quê?,Pra quê?,Pra quê,Pra que,Pra,pra,pra
0.0,Caixa 2?,Caixa 2?,Caixa 2,Caixa 2,Caixa 2,caixa 2,caix 2
0.0,"A presidente não vai cair porque não se gosta dela, vai cair porque agiu contra a lei, simples assim...","A presidente não vai cair porque não se gosta dela, vai cair porque agiu contra a lei, simples assim...",A presidente não vai cair porque não se gosta dela vai cair porque agiu contra a lei simples assim,A presidente nao vai cair porque nao se gosta dela vai cair porque agiu contra a lei simples assim,A presidente vai cair porque gosta vai cair porque agiu contra lei simples assim,a presidente vai cair porque gosta vai cair porque agiu contra lei simples assim,a presid vai cair porqu gost vai cair porqu agiu contr lei simpl assim
0.0,Esses argumentos são bestiais.,Esses argumentos são bestiais.,Esses argumentos são bestiais,Esses argumentos sao bestiais,Esses argumentos bestiais,esses argumentos bestiais,ess argument best
0.0,"Juridicamente falando não tem base pra impeachment, não tem fundamento jurídico, e o pior de tudo o povão, a massa mesmo não apóia o impeachment, por isso não decolou o golpe.","Juridicamente falando não tem base pra impeachment, não tem fundamento jurídico, e o pior de tudo o povão, a massa mesmo não apóia o impeachment, por isso não decolou o golpe.",Juridicamente falando não tem base pra impeachment não tem fundamento jurídico e o pior de tudo o povão a massa mesmo não apóia o impeachment por isso não decolou o golpe,Juridicamente falando nao tem base pra impeachment nao tem fundamento juridico e o pior de tudo o povao a massa mesmo nao apoia o impeachment por isso nao decolou o golpe,Juridicamente falando base pra impeachment fundamento juridico pior tudo povao massa apoia impeachment decolou golpe,juridicamente falando base pra impeachment fundamento juridico pior tudo povao massa apoia impeachment decolou golpe,juridic fal bas pra impeachment fundament jurid pi tud pova mass apo impeachment decol golp
0.0,"Mas o governo da Dilma é muito semelhante ao governo FHC, tão ruim qto.","Mas o governo da Dilma é muito semelhante ao governo FHC, tão ruim qto.",Mas o governo da Dilma é muito semelhante ao governo FHC tão ruim qto,Mas o governo da Dilma e muito semelhante ao governo FHC tao ruim qto,Mas governo Dilma semelhante governo FHC tao ruim qto,mas governo dilma semelhante governo fhc tao ruim qto,mas govern dilm semelh govern fhc tao ruim qto
0.0,Vejam muitos picaretas desses movimentecos saírem candidatos a vereador em 2016 pra verem no que estão interessados de fato.,Vejam muitos picaretas desses movimentecos saírem candidatos a vereador em 2016 pra verem no que estão interessados de fato.,Vejam muitos picaretas desses movimentecos saírem candidatos a vereador em 2016 pra verem no que estão interessados de fato,Vejam muitos picaretas desses movimentecos sairem candidatos a vereador em 2016 pra verem no que estao interessados de fato,Vejam muitos picaretas desses movimentecos sairem candidatos vereador 2016 pra verem interessados fato,vejam muitos picaretas desses movimentecos sairem candidatos vereador 2016 pra verem interessados fato,vej muit picaret dess movimentec sair candidat vere 2016 pra ver interess fat
0.0,Lobão possivelmente será candidato.,Lobão possivelmente será candidato.,Lobão possivelmente será candidato,Lobao possivelmente sera candidato,Lobao possivelmente candidato,lobao possivelmente candidato,loba possi candidat
0.0,Vi esta entrevista dela.,Vi esta entrevista dela.,Vi esta entrevista dela,Vi esta entrevista dela,Vi entrevista,vi entrevista,vi entrev
0.0,Logo após anunciar o aumento para o fundo partidário.,Logo após anunciar o aumento para o fundo partidário.,Logo após anunciar o aumento para o fundo partidário,Logo apos anunciar o aumento para o fundo partidario,Logo apos anunciar aumento fundo partidario,logo apos anunciar aumento fundo partidario,log apo anunci aument fund partidari
0.0,Já nem suporto mais assistir noticiários.,Já nem suporto mais assistir noticiários.,Já nem suporto mais assistir noticiários,Ja nem suporto mais assistir noticiarios,Ja suporto assistir noticiarios,ja suporto assistir noticiarios,ja suport assist noticiari
0.0,"Como ela pode falar em democracia, mentindo e enganando o povo?","Como ela pode falar em democracia, mentindo e enganando o povo?",Como ela pode falar em democracia mentindo e enganando o povo,Como ela pode falar em democracia mentindo e enganando o povo,Como pode falar democracia mentindo enganando povo,como pode falar democracia mentindo enganando povo,com pod fal democrac ment engan pov
0.0,"Não adianta tapar o sol com a peneira e criar prosopopeias, ou florear com falas mentirosas, o povo está esperto e cobra mudanças, não acredita mais nestas conversas e ações eleitoreiras.","Não adianta tapar o sol com a peneira e criar prosopopeias, ou florear com falas mentirosas, o povo está esperto e cobra mudanças, não acredita mais nestas conversas e ações eleitoreiras.",Não adianta tapar o sol com a peneira e criar prosopopeias ou florear com falas mentirosas o povo está esperto e cobra mudanças não acredita mais nestas conversas e ações eleitoreiras,Nao adianta tapar o sol com a peneira e criar prosopopeias ou florear com falas mentirosas o povo esta esperto e cobra mudancas nao acredita mais nestas conversas e acoes eleitoreiras,Nao adianta tapar sol peneira criar prosopopeias florear falas mentirosas povo esperto cobra mudancas acredita nestas conversas acoes eleitoreiras,nao adianta tapar sol peneira criar prosopopeias florear falas mentirosas povo esperto cobra mudancas acredita nestas conversas acoes eleitoreiras,nao adiant tap sol pen cri prosopope flor fal mentir pov espert cobr mudanc acredit nest convers aco eleitor
0.0,"Nem os investidores acreditam mais nos novos rumos que traçam para seguir com o governo, estão tirando o dinheiro e brasileiros também têm feito isso, estão todos apavorados.","Nem os investidores acreditam mais nos novos rumos que traçam para seguir com o governo, estão tirando o dinheiro e brasileiros também têm feito isso, estão todos apavorados.",Nem os investidores acreditam mais nos novos rumos que traçam para seguir com o governo estão tirando o dinheiro e brasileiros também têm feito isso estão todos apavorados,Nem os investidores acreditam mais nos novos rumos que tracam para seguir com o governo estao tirando o dinheiro e brasileiros tambem tem feito isso estao todos apavorados,Nem investidores acreditam novos rumos tracam seguir governo tirando dinheiro brasileiros feito todos apavorados,nem investidores acreditam novos rumos tracam seguir governo tirando dinheiro brasileiros feito todos apavorados,nem invest acredit nov rum trac segu govern tir dinh brasil feit tod apavor
0.0,"Ninguem quer tirá-la da Presidência por que não gostam dela e sim pela incompetência que esta afundando o Brasil e seu povo, que a cada dia tem que pagar mais impostos para cobrir a lambança que o PT fez e esta fazendo com a imensa lama de corrupção que se tornou nosso Brasil, pelas promessas enganadoras feitas em sua campanha eleitoral ao povo e pela vergonha que esta fazendo a sociedade brasileira passar perante o mundo inteiro.","Ninguem quer tirá-la da Presidência por que não gostam dela e sim pela incompetência que esta afundando o Brasil e seu povo, que a cada dia tem que pagar mais impostos para cobrir a lambança que o PT fez e esta fazendo com a imensa lama de corrupção que se tornou nosso Brasil, pelas promessas enganadoras feitas em sua campanha eleitoral ao povo e pela vergonha que esta fazendo a sociedade brasileira passar perante o mundo inteiro.",Ninguem quer tirála da Presidência por que não gostam dela e sim pela incompetência que esta afundando o Brasil e seu povo que a cada dia tem que pagar mais impostos para cobrir a lambança que o PT fez e esta fazendo com a imensa lama de corrupção que se tornou nosso Brasil pelas promessas enganadoras feitas em sua campanha eleitoral ao povo e pela vergonha que esta fazendo a sociedade brasileira passar perante o mundo inteiro,Ninguem quer tirala da Presidencia por que nao gostam dela e sim pela incompetencia que esta afundando o Brasil e seu povo que a cada dia tem que pagar mais impostos para cobrir a lambanca que o PT fez e esta fazendo com a imensa lama de corrupcao que se tornou nosso Brasil pelas promessas enganadoras feitas em sua campanha eleitoral ao povo e pela vergonha que esta fazendo a sociedade brasileira passar perante o mundo inteiro,Ninguem quer tirala Presidencia gostam sim incompetencia afundando Brasil povo cada dia pagar impostos cobrir lambanca PT fez fazendo imensa lama corrupcao tornou Brasil promessas enganadoras feitas campanha eleitoral povo vergonha fazendo sociedade brasileira passar perante mundo inteiro,ninguem quer tirala presidencia gostam sim incompetencia afundando brasil povo cada dia pagar impostos cobrir lambanca pt fez fazendo imensa lama corrupcao tornou brasil promessas enganadoras feitas campanha eleitoral povo vergonha fazendo sociedade brasileira passar perante mundo inteiro,ning qu tiral presidenc gost sim incompetenc afund brasil pov cad dia pag impost cobr lambanc pt fez faz imens lam corrupca torn brasil promess engan feit campanh eleitor pov vergonh faz sociedad brasil pass per mund int
0.0,É só por isso.,É só por isso.,É só por isso,E so por isso,E,e,e
0.0,"Outra parte do povo, está amparado por outro tanto de mentiras, que são os pacotes dito sociais pagos com endividamento e que retornam em forma de esmola e não crescimento.","Outra parte do povo, está amparado por outro tanto de mentiras, que são os pacotes dito sociais pagos com endividamento e que retornam em forma de esmola e não crescimento.",Outra parte do povo está amparado por outro tanto de mentiras que são os pacotes dito sociais pagos com endividamento e que retornam em forma de esmola e não crescimento,Outra parte do povo esta amparado por outro tanto de mentiras que sao os pacotes dito sociais pagos com endividamento e que retornam em forma de esmola e nao crescimento,Outra parte povo amparado outro tanto mentiras pacotes dito sociais pagos endividamento retornam forma esmola crescimento,outra parte povo amparado outro tanto mentiras pacotes dito sociais pagos endividamento retornam forma esmola crescimento,outr part pov ampar outr tant ment pacot dit soc pag endivid retorn form esmol cresc
0.0,"Mais uma manobra presidencial, agora aliciando os jornalistas que são os comunicadores da mídia e fazedores de opinião.","Mais uma manobra presidencial, agora aliciando os jornalistas que são os comunicadores da mídia e fazedores de opinião.",Mais uma manobra presidencial agora aliciando os jornalistas que são os comunicadores da mídia e fazedores de opinião,Mais uma manobra presidencial agora aliciando os jornalistas que sao os comunicadores da midia e fazedores de opiniao,Mais manobra presidencial agora aliciando jornalistas comunicadores midia fazedores opiniao,mais manobra presidencial agora aliciando jornalistas comunicadores midia fazedores opiniao,mais manobr presid agor alici jornal comunic mid faz opinia
0.0,"Medidas articuladas e repentinas, Mercadante discutindo o teor da redação e vasculhando o conteúdo dos alunos?","Medidas articuladas e repentinas, Mercadante discutindo o teor da redação e vasculhando o conteúdo dos alunos?",Medidas articuladas e repentinas Mercadante discutindo o teor da redação e vasculhando o conteúdo dos alunos,Medidas articuladas e repentinas Mercadante discutindo o teor da redacao e vasculhando o conteudo dos alunos,Medidas articuladas repentinas Mercadante discutindo teor redacao vasculhando conteudo alunos,medidas articuladas repentinas mercadante discutindo teor redacao vasculhando conteudo alunos,med articul repentin mercad discut te redaca vasculh conteud alun
0.0,Compra de votos.,Compra de votos.,Compra de votos,Compra de votos,Compra votos,compra votos,compr vot
0.0,"Se fosse algum prefeito que tivesse cometido esses crimes contra a lei de responsabilidade fiscal ele já teria sido deposto, engraçado que Collor foi deposto por muito menos que isso.","Se fosse algum prefeito que tivesse cometido esses crimes contra a lei de responsabilidade fiscal ele já teria sido deposto, engraçado que Collor foi deposto por muito menos que isso.",Se fosse algum prefeito que tivesse cometido esses crimes contra a lei de responsabilidade fiscal ele já teria sido deposto engraçado que Collor foi deposto por muito menos que isso,Se fosse algum prefeito que tivesse cometido esses crimes contra a lei de responsabilidade fiscal ele ja teria sido deposto engracado que Collor foi deposto por muito menos que isso,Se algum prefeito cometido crimes contra lei responsabilidade fiscal sido deposto engracado Collor deposto menos,se algum prefeito cometido crimes contra lei responsabilidade fiscal sido deposto engracado collor deposto menos,se algum prefeit comet crim contr lei respons fiscal sid depost engrac coll depost menos
0.0,A senhora presidente não submeteu os empréstimos do BNDES ao senado antes de mandar dinheiro para Cuba através de empreiteiras como preconiza o artigo 19 da Constituição.,A senhora presidente não submeteu os empréstimos do BNDES ao senado antes de mandar dinheiro para Cuba através de empreiteiras como preconiza o artigo 19 da Constituição.,A senhora presidente não submeteu os empréstimos do BNDES ao senado antes de mandar dinheiro para Cuba através de empreiteiras como preconiza o artigo 19 da Constituição,A senhora presidente nao submeteu os emprestimos do BNDES ao senado antes de mandar dinheiro para Cuba atraves de empreiteiras como preconiza o artigo 19 da Constituicao,A senhora presidente submeteu emprestimos BNDES senado antes mandar dinheiro Cuba atraves empreiteiras preconiza artigo 19 Constituicao,a senhora presidente submeteu emprestimos bndes senado antes mandar dinheiro cuba atraves empreiteiras preconiza artigo 19 constituicao,a senh presid submet emprest bnd sen ant mand dinh cub atrav empreit preconiz artig 19 constituica
0.0,Estamos a beira de uma guerra civil devido a essa péssima gestão.,Estamos a beira de uma guerra civil devido a essa péssima gestão.,Estamos a beira de uma guerra civil devido a essa péssima gestão,Estamos a beira de uma guerra civil devido a essa pessima gestao,Estamos beira guerra civil devido pessima gestao,estamos beira guerra civil devido pessima gestao,est beir guerr civil dev pess gesta
0.0,Não é por não gostar não é por corrupção e incompetência mesmo !!!!!,Não é por não gostar não é por corrupção e incompetência mesmo !!!!!,Não é por não gostar não é por corrupção e incompetência mesmo ,Nao e por nao gostar nao e por corrupcao e incompetencia mesmo ,Nao gostar corrupcao incompetencia,nao gostar corrupcao incompetencia,nao gost corrupca incompetenc
0.0,Sra. Presidente. Existe golpe sim.,Sra. Presidente. Existe golpe sim.,Sra Presidente Existe golpe sim,Sra Presidente Existe golpe sim,Sra Presidente Existe golpe sim,sra presidente existe golpe sim,sra presid exist golp sim
0.0,Golpe contra a boa fé do povo brasileiro que a elegeu.,Golpe contra a boa fé do povo brasileiro que a elegeu.,Golpe contra a boa fé do povo brasileiro que a elegeu,Golpe contra a boa fe do povo brasileiro que a elegeu,Golpe contra boa fe povo brasileiro elegeu,golpe contra boa fe povo brasileiro elegeu,golp contr boa fe pov brasil eleg
0.0,"Golpe contra a lei eleitoral, ao fazer na sua campanha do uso da maquina administrativa e de recursos desviados.","Golpe contra a lei eleitoral, ao fazer na sua campanha do uso da maquina administrativa e de recursos desviados.",Golpe contra a lei eleitoral ao fazer na sua campanha do uso da maquina administrativa e de recursos desviados,Golpe contra a lei eleitoral ao fazer na sua campanha do uso da maquina administrativa e de recursos desviados,Golpe contra lei eleitoral fazer campanha uso maquina administrativa recursos desviados,golpe contra lei eleitoral fazer campanha uso maquina administrativa recursos desviados,golp contr lei eleitor faz campanh uso maquin administr recurs desvi
0.0,Golpe contra as finanças do país.,Golpe contra as finanças do país.,Golpe contra as finanças do país,Golpe contra as financas do pais,Golpe contra financas pais,golpe contra financas pais,golp contr financ pal
0.0,Golpe contra a constituição brasileira ao atentar contra a lei orçamentária e o envio de recursos a países estrangeiros sem autorização do congresso.,Golpe contra a constituição brasileira ao atentar contra a lei orçamentária e o envio de recursos a países estrangeiros sem autorização do congresso.,Golpe contra a constituição brasileira ao atentar contra a lei orçamentária e o envio de recursos a países estrangeiros sem autorização do congresso,Golpe contra a constituicao brasileira ao atentar contra a lei orcamentaria e o envio de recursos a paises estrangeiros sem autorizacao do congresso,Golpe contra constituicao brasileira atentar contra lei orcamentaria envio recursos paises estrangeiros autorizacao congresso,golpe contra constituicao brasileira atentar contra lei orcamentaria envio recursos paises estrangeiros autorizacao congresso,golp contr constituica brasil atent contr lei orcament envi recurs pais estrang autorizaca congress
0.0,Golpe contra a arrecadação e contra a economia popular.,Golpe contra a arrecadação e contra a economia popular.,Golpe contra a arrecadação e contra a economia popular,Golpe contra a arrecadacao e contra a economia popular,Golpe contra arrecadacao contra economia popular,golpe contra arrecadacao contra economia popular,golp contr arrecadaca contr econom popul
0.0,Sim a Sra. é a maior golpista da história desta nação.,Sim a Sra. é a maior golpista da história desta nação.,Sim a Sra é a maior golpista da história desta nação,Sim a Sra e a maior golpista da historia desta nacao,Sim Sra maior golpista historia desta nacao,sim sra maior golpista historia desta nacao,sim sra mai golp hist dest naca
0.0,"O grande problema deste governo é que atua para permanecer no governo, e tudo que se faz e desfaz, por exemplo o dinheiro público que foi desfeito como ouro que escorre pelas mãos, foi para não perder o poder, a isto chamam democracia?","O grande problema deste governo é que atua para permanecer no governo, e tudo que se faz e desfaz, por exemplo o dinheiro público que foi desfeito como ouro que escorre pelas mãos, foi para não perder o poder, a isto chamam democracia?",O grande problema deste governo é que atua para permanecer no governo e tudo que se faz e desfaz por exemplo o dinheiro público que foi desfeito como ouro que escorre pelas mãos foi para não perder o poder a isto chamam democracia,O grande problema deste governo e que atua para permanecer no governo e tudo que se faz e desfaz por exemplo o dinheiro publico que foi desfeito como ouro que escorre pelas maos foi para nao perder o poder a isto chamam democracia,O grande problema deste governo atua permanecer governo tudo faz desfaz exemplo dinheiro publico desfeito ouro escorre maos perder poder chamam democracia,o grande problema deste governo atua permanecer governo tudo faz desfaz exemplo dinheiro publico desfeito ouro escorre maos perder poder chamam democracia,o grand problem dest govern atu permanec govern tud faz desfaz exempl dinh publ desfeit our escorr mao perd pod cham democrac
0.0,E o povo?,E o povo?,E o povo,E o povo,E povo,e povo,e pov
0.0,É só eleitor.,É só eleitor.,É só eleitor,E so eleitor,E eleitor,e eleitor,e elei
0.0,"Em 1999 o então dep fed Jose Dirceu colocou um pedido de impedimento contra FHC, por muitíssimo menos que as pedaladas, dizendo literalmente ""qualquer deputado pode pedir impedimento do presidente"" e que governista que dizia que era golpe ""era porque não tinha assunto"".","Em 1999 o então dep fed Jose Dirceu colocou um pedido de impedimento contra FHC, por muitíssimo menos que as pedaladas, dizendo literalmente ""qualquer deputado pode pedir impedimento do presidente"" e que governista que dizia que era golpe ""era porque não tinha assunto"".",Em 1999 o então dep fed Jose Dirceu colocou um pedido de impedimento contra FHC por muitíssimo menos que as pedaladas dizendo literalmente qualquer deputado pode pedir impedimento do presidente e que governista que dizia que era golpe era porque não tinha assunto,Em 1999 o entao dep fed Jose Dirceu colocou um pedido de impedimento contra FHC por muitissimo menos que as pedaladas dizendo literalmente qualquer deputado pode pedir impedimento do presidente e que governista que dizia que era golpe era porque nao tinha assunto,Em 1999 entao dep fed Jose Dirceu colocou pedido impedimento contra FHC muitissimo menos pedaladas dizendo literalmente qualquer deputado pode pedir impedimento presidente governista dizia golpe porque assunto,em 1999 entao dep fed jose dirceu colocou pedido impedimento contra fhc muitissimo menos pedaladas dizendo literalmente qualquer deputado pode pedir impedimento presidente governista dizia golpe porque assunto,em 1999 enta dep fed jos dirc coloc ped imped contr fhc muitiss menos pedal diz liter qualqu deput pod ped imped presid govern diz golp porqu assunt
0.0,O então pres da camara que aceitou o pedido era o Temer.,O então pres da camara que aceitou o pedido era o Temer.,O então pres da camara que aceitou o pedido era o Temer,O entao pres da camara que aceitou o pedido era o Temer,O entao pres camara aceitou pedido Temer,o entao pres camara aceitou pedido temer,o enta pre cam aceit ped tem
0.0,"E como sempre, para esta turma, quando ""eu"" faço é democracia, quando o ""outro"" faz é golpe... '","E como sempre, para esta turma, quando ""eu"" faço é democracia, quando o ""outro"" faz é golpe... '",E como sempre para esta turma quando eu faço é democracia quando o outro faz é golpe ,E como sempre para esta turma quando eu faco e democracia quando o outro faz e golpe ,E sempre turma faco democracia outro faz golpe,e sempre turma faco democracia outro faz golpe,e sempr turm fac democrac outr faz golp
0.0,Golpismo é aceitar ser presidenta e ser incompetenta.,Golpismo é aceitar ser presidenta e ser incompetenta.,Golpismo é aceitar ser presidenta e ser incompetenta,Golpismo e aceitar ser presidenta e ser incompetenta,Golpismo aceitar ser presidenta ser incompetenta,golpismo aceitar ser presidenta ser incompetenta,golp aceit ser president ser incompetent
0.0,Fico pensando se não é melhor que ela fique ofegando e ofegante até o término do mandato.,Fico pensando se não é melhor que ela fique ofegando e ofegante até o término do mandato.,Fico pensando se não é melhor que ela fique ofegando e ofegante até o término do mandato,Fico pensando se nao e melhor que ela fique ofegando e ofegante ate o termino do mandato,Fico pensando melhor fique ofegando ofegante termino mandato,fico pensando melhor fique ofegando ofegante termino mandato,fic pens melhor fiqu ofeg ofeg termin mandat
0.0,"É certo que iremos ainda sofrer muito, mas uma coisa é certa: O pt desaparece de vez.","É certo que iremos ainda sofrer muito, mas uma coisa é certa: O pt desaparece de vez.",É certo que iremos ainda sofrer muito mas uma coisa é certa O pt desaparece de vez,E certo que iremos ainda sofrer muito mas uma coisa e certa O pt desaparece de vez,E certo iremos ainda sofrer coisa certa O pt desaparece vez,e certo iremos ainda sofrer coisa certa o pt desaparece vez,e cert ir aind sofr cois cert o pt desaparec vez
0.0,Golpe foi dado em 26/10/2014.,Golpe foi dado em 26/10/2014.,Golpe foi dado em 26102014,Golpe foi dado em 26102014,Golpe dado 26102014,golpe dado 26102014,golp dad 26102014
0.0,mas vocês não notaram as inserções do partido mais corrupto do pais hoje nos canais de televisão aludindo que a democracia esta em perigo?,mas vocês não notaram as inserções do partido mais corrupto do pais hoje nos canais de televisão aludindo que a democracia esta em perigo?,mas vocês não notaram as inserções do partido mais corrupto do pais hoje nos canais de televisão aludindo que a democracia esta em perigo,mas voces nao notaram as insercoes do partido mais corrupto do pais hoje nos canais de televisao aludindo que a democracia esta em perigo,notaram insercoes partido corrupto pais hoje canais televisao aludindo democracia perigo,notaram insercoes partido corrupto pais hoje canais televisao aludindo democracia perigo,not inserco part corrupt pal hoj canal televisa alud democrac perig
0.0,vao copiar o aprendiz de ditador no pais ao norte do brasil.,vao copiar o aprendiz de ditador no pais ao norte do brasil.,vao copiar o aprendiz de ditador no pais ao norte do brasil,vao copiar o aprendiz de ditador no pais ao norte do brasil,vao copiar aprendiz ditador pais norte brasil,vao copiar aprendiz ditador pais norte brasil,vao copi aprendiz dit pal nort brasil
0.0,Essa senhora foi a pior coisa que aconteceu ao Brasil em todos os tempos.,Essa senhora foi a pior coisa que aconteceu ao Brasil em todos os tempos.,Essa senhora foi a pior coisa que aconteceu ao Brasil em todos os tempos,Essa senhora foi a pior coisa que aconteceu ao Brasil em todos os tempos,Essa senhora pior coisa aconteceu Brasil todos tempos,essa senhora pior coisa aconteceu brasil todos tempos,ess senh pi cois acontec brasil tod temp
0.0,"Depois dela, todas as portas para uma mulher foram fechadas.","Depois dela, todas as portas para uma mulher foram fechadas.",Depois dela todas as portas para uma mulher foram fechadas,Depois dela todas as portas para uma mulher foram fechadas,Depois todas portas mulher fechadas,depois todas portas mulher fechadas,depois tod port mulh fech
0.0,"Senhores nenéns, procurem um colo para chorarem porque a Dilma renunciar já mais.","Senhores nenéns, procurem um colo para chorarem porque a Dilma renunciar já mais.",Senhores nenéns procurem um colo para chorarem porque a Dilma renunciar já mais,Senhores nenens procurem um colo para chorarem porque a Dilma renunciar ja mais,Senhores nenens procurem colo chorarem porque Dilma renunciar,senhores nenens procurem colo chorarem porque dilma renunciar,senh nen procur col chor porqu dilm renunci
0.0,Vocês alienados conseguirem o golpe?,Vocês alienados conseguirem o golpe?,Vocês alienados conseguirem o golpe,Voces alienados conseguirem o golpe,Voces alienados conseguirem golpe,voces alienados conseguirem golpe,voc alien consegu golp
0.0,"Mais impossível ainda, chorem porque o tal do impeachment encheu tanto o pacote do povo, eu disse povo, que agora já era!","Mais impossível ainda, chorem porque o tal do impeachment encheu tanto o pacote do povo, eu disse povo, que agora já era!",Mais impossível ainda chorem porque o tal do impeachment encheu tanto o pacote do povo eu disse povo que agora já era,Mais impossivel ainda chorem porque o tal do impeachment encheu tanto o pacote do povo eu disse povo que agora ja era,Mais impossivel ainda chorem porque tal impeachment encheu tanto pacote povo disse povo agora,mais impossivel ainda chorem porque tal impeachment encheu tanto pacote povo disse povo agora,mais impossi aind chor porqu tal impeachment ench tant pacot pov diss pov agor
