sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
se auto sustentar?,se auto sustentar?,0,se auto sustentar,se auto sustentar,auto sustentar,auto sustentar,aut sustent
Entenderam onde quero chegar?,Entenderam onde quero chegar?,0,Entenderam onde quero chegar,Entenderam onde quero chegar,Entenderam onde quero chegar,entenderam onde quero chegar,entend ond quer cheg
Perdi a esperança!,Perdi a esperança!,0,Perdi a esperança,Perdi a esperanca,Perdi esperanca,perdi esperanca,perd esperanc
"[Dilmentira]P3  e [luladespresivel]P3 são o que de pior existe para uma sociedade digna e honesta,","Dilmentira  e luladespresivel são o que de pior existe para uma sociedade digna e honesta,",0,Dilmentira  e luladespresivel são o que de pior existe para uma sociedade digna e honesta,Dilmentira  e luladespresivel sao o que de pior existe para uma sociedade digna e honesta,Dilmentira luladespresivel pior existe sociedade digna honesta,dilmentira luladespresivel pior existe sociedade digna honesta,dilment luladespresi pi exist sociedad dign honest
Será que não tem ninguem para calar a boca desse parasita?,Será que não tem ninguem para calar a boca desse parasita?,0,Será que não tem ninguem para calar a boca desse parasita,Sera que nao tem ninguem para calar a boca desse parasita,Sera ninguem calar boca desse parasita,sera ninguem calar boca desse parasita,ser ning cal boc dess parasit
"Medo de [""perca""]P1 do puder.","Medo de [""perca""]P1 do puder.",0,Medo de percaP1 do puder,Medo de percaP1 do puder,Medo percaP1 puder,medo percap1 puder,med percap1 pud
o povo votou para a Dilma e levou o Lula.,o povo votou para a Dilma e levou o Lula.,0,o povo votou para a Dilma e levou o Lula,o povo votou para a Dilma e levou o Lula,povo votou Dilma levou Lula,povo votou dilma levou lula,pov vot dilm lev lul
Ela deveria renunciar em favor do lula.,Ela deveria renunciar em favor do lula.,0,Ela deveria renunciar em favor do lula,Ela deveria renunciar em favor do lula,Ela deveria renunciar favor lula,ela deveria renunciar favor lula,ela dev renunci favor lul
"Pobre país que gera esse tipo de político mal intencionado, mau caráter, egoísta, sem hombridade, sem espírito publico, indecente e corrupto.","Pobre país que gera esse tipo de político mal intencionado, mau caráter, egoísta, sem hombridade, sem espírito publico, indecente e corrupto.",0,Pobre país que gera esse tipo de político mal intencionado mau caráter egoísta sem hombridade sem espírito publico indecente e corrupto,Pobre pais que gera esse tipo de politico mal intencionado mau carater egoista sem hombridade sem espirito publico indecente e corrupto,Pobre pais gera tipo politico mal intencionado mau carater egoista hombridade espirito publico indecente corrupto,pobre pais gera tipo politico mal intencionado mau carater egoista hombridade espirito publico indecente corrupto,pobr pal ger tip poli mal intencion mau carat egoist hombr espirit publ indec corrupt
O PT e seus satelites são o pior já surgiu na história de república e o PMDB segue colado na segunda posição.,O PT e seus satelites são o pior já surgiu na história de república e o PMDB segue colado na segunda posição.,0,O PT e seus satelites são o pior já surgiu na história de república e o PMDB segue colado na segunda posição,O PT e seus satelites sao o pior ja surgiu na historia de republica e o PMDB segue colado na segunda posicao,O PT satelites pior surgiu historia republica PMDB segue colado segunda posicao,o pt satelites pior surgiu historia republica pmdb segue colado segunda posicao,o pt satelit pi surg hist republ pmdb seg col segund posica
Conversa para boi dormir!,Conversa para boi dormir!,0,Conversa para boi dormir,Conversa para boi dormir,Conversa boi dormir,conversa boi dormir,convers boi dorm
"Estas tranqueiras já mostraram que não servem pra conduzir o destino do Brasil, poderiam ajudar no sentido de sair de cena e deixarem o país em paz, é isto que o Brasil está precisando, ser deixado em paz por estas tranqueiras, sigam seus caminhos em paz e deixem o país em paz.","Estas tranqueiras já mostraram que não servem pra conduzir o destino do Brasil, poderiam ajudar no sentido de sair de cena e deixarem o país em paz, é isto que o Brasil está precisando, ser deixado em paz por estas tranqueiras, sigam seus caminhos em paz e deixem o país em paz.",0,Estas tranqueiras já mostraram que não servem pra conduzir o destino do Brasil poderiam ajudar no sentido de sair de cena e deixarem o país em paz é isto que o Brasil está precisando ser deixado em paz por estas tranqueiras sigam seus caminhos em paz e deixem o país em paz,Estas tranqueiras ja mostraram que nao servem pra conduzir o destino do Brasil poderiam ajudar no sentido de sair de cena e deixarem o pais em paz e isto que o Brasil esta precisando ser deixado em paz por estas tranqueiras sigam seus caminhos em paz e deixem o pais em paz,Estas tranqueiras mostraram servem pra conduzir destino Brasil poderiam ajudar sentido sair cena deixarem pais paz Brasil precisando ser deixado paz tranqueiras sigam caminhos paz deixem pais paz,estas tranqueiras mostraram servem pra conduzir destino brasil poderiam ajudar sentido sair cena deixarem pais paz brasil precisando ser deixado paz tranqueiras sigam caminhos paz deixem pais paz,est tranc mostr serv pra conduz destin brasil pod ajud sent sair cen deix pal paz brasil precis ser deix paz tranc sig caminh paz deix pal paz
"Não se trata de falsidade, se trata de negociação.","Não se trata de falsidade, se trata de negociação.",0,Não se trata de falsidade se trata de negociação,Nao se trata de falsidade se trata de negociacao,Nao trata falsidade trata negociacao,nao trata falsidade trata negociacao,nao trat fals trat negociaca
"A política é a arte da negociação, da tolerância, de procurar um caminho que atenda aos interesses das partes, da população.","A política é a arte da negociação, da tolerância, de procurar um caminho que atenda aos interesses das partes, da população.",0,A política é a arte da negociação da tolerância de procurar um caminho que atenda aos interesses das partes da população,A politica e a arte da negociacao da tolerancia de procurar um caminho que atenda aos interesses das partes da populacao,A politica arte negociacao tolerancia procurar caminho atenda interesses partes populacao,a politica arte negociacao tolerancia procurar caminho atenda interesses partes populacao,a poli art negociaca toleranc procur caminh atend inter part populaca
"Se não for assim vem a radicalização e temos bons exemplos do que isto dá, no mundo: guerras e conflitos sem fim.","Se não for assim vem a radicalização e temos bons exemplos do que isto dá, no mundo: guerras e conflitos sem fim.",0,Se não for assim vem a radicalização e temos bons exemplos do que isto dá no mundo guerras e conflitos sem fim,Se nao for assim vem a radicalizacao e temos bons exemplos do que isto da no mundo guerras e conflitos sem fim,Se assim vem radicalizacao bons exemplos mundo guerras conflitos fim,se assim vem radicalizacao bons exemplos mundo guerras conflitos fim,se assim vem radicalizaca bom exempl mund guerr conflit fim
"Quem defende a falsidade, é [tão falso]P6 quanto.","Quem defende a falsidade, é tão falso quanto.",0,Quem defende a falsidade é tão falso quanto,Quem defende a falsidade e tao falso quanto,Quem defende falsidade tao falso quanto,quem defende falsidade tao falso quanto,qu defend fals tao fals quant
"eduardo, gostaria de saber em quais dados vc está se baseando para falar da administração de Lula.","eduardo, gostaria de saber em quais dados vc está se baseando para falar da administração de Lula.",0,eduardo gostaria de saber em quais dados vc está se baseando para falar da administração de Lula,eduardo gostaria de saber em quais dados vc esta se baseando para falar da administracao de Lula,eduardo gostaria saber quais dados vc baseando falar administracao Lula,eduardo gostaria saber quais dados vc baseando falar administracao lula,eduard gost sab qual dad vc base fal administraca lul
"Todos os que conheço, a partir de FHC melhoraram.","Todos os que conheço, a partir de FHC melhoraram.",0,Todos os que conheço a partir de FHC melhoraram,Todos os que conheco a partir de FHC melhoraram,Todos conheco partir FHC melhoraram,todos conheco partir fhc melhoraram,tod conhec part fhc melhor
E a situação atual tem sua principal causa devido a fatores externos: desvalorização das commodities.,E a situação atual tem sua principal causa devido a fatores externos: desvalorização das commodities.,0,E a situação atual tem sua principal causa devido a fatores externos desvalorização das commodities,E a situacao atual tem sua principal causa devido a fatores externos desvalorizacao das commodities,E situacao atual principal causa devido fatores externos desvalorizacao commodities,e situacao atual principal causa devido fatores externos desvalorizacao commodities,e situaca atual princip caus dev fat extern desvalorizaca commoditi
Estou aguardando os seus dados.,Estou aguardando os seus dados.,0,Estou aguardando os seus dados,Estou aguardando os seus dados,Estou aguardando dados,estou aguardando dados,est aguard dad
Loolah  nunca tem razão.,Loolah  nunca tem razão.,0,Loolah  nunca tem razão,Loolah  nunca tem razao,Loolah nunca razao,loolah nunca razao,loolah nunc raza
"Se algum dia tivesse, o país não estaria onde está.","Se algum dia tivesse, o país não estaria onde está.",0,Se algum dia tivesse o país não estaria onde está,Se algum dia tivesse o pais nao estaria onde esta,Se algum dia pais estaria onde,se algum dia pais estaria onde,se algum dia pal est ond
Aos que estão de saco cheio dos ataques ao PT: A) corrupto e corruptores devem pagar pelo seus crimes e a corrupção é apartidaria.,Aos que estão de saco cheio dos ataques ao PT: A) corrupto e corruptores devem pagar pelo seus crimes e a corrupção é apartidaria.,0,Aos que estão de saco cheio dos ataques ao PT A corrupto e corruptores devem pagar pelo seus crimes e a corrupção é apartidaria,Aos que estao de saco cheio dos ataques ao PT A corrupto e corruptores devem pagar pelo seus crimes e a corrupcao e apartidaria,Aos saco cheio ataques PT A corrupto corruptores devem pagar crimes corrupcao apartidaria,aos saco cheio ataques pt a corrupto corruptores devem pagar crimes corrupcao apartidaria,ao sac chei ataqu pt a corrupt corrup dev pag crim corrupca apartid
"C) o fato de outros terem cometidos crimes semelhantes , não justifica que os atuais governantes o façam , aliás todos devem responder pelo crime","C) o fato de outros terem cometidos crimes semelhantes , não justifica que os atuais governantes o façam , aliás todos devem responder pelo crime",0,C o fato de outros terem cometidos crimes semelhantes  não justifica que os atuais governantes o façam  aliás todos devem responder pelo crime,C o fato de outros terem cometidos crimes semelhantes  nao justifica que os atuais governantes o facam  alias todos devem responder pelo crime,C fato outros terem cometidos crimes semelhantes justifica atuais governantes facam alias todos devem responder crime,c fato outros terem cometidos crimes semelhantes justifica atuais governantes facam alias todos devem responder crime,c fat outr ter comet crim semelh justif atual govern fac ali tod dev respond crim
Que papelão do STF para tentar dificultar o impedimento  dela  interferindo noutro poder.,Que papelão do STF para tentar dificultar o impedimento  dela  interferindo noutro poder.,0,Que papelão do STF para tentar dificultar o impedimento  dela  interferindo noutro poder,Que papelao do STF para tentar dificultar o impedimento  dela  interferindo noutro poder,Que papelao STF tentar dificultar impedimento interferindo noutro poder,que papelao stf tentar dificultar impedimento interferindo noutro poder,que papela stf tent dificult imped interfer noutr pod
Não tem como blindar.,Não tem como blindar.,0,Não tem como blindar,Nao tem como blindar,Nao blindar,nao blindar,nao blind
Só de pertencer ao ParTido  já é culpado.,Só de pertencer ao ParTido  já é culpado.,0,Só de pertencer ao ParTido  já é culpado,So de pertencer ao ParTido  ja e culpado,So pertencer ParTido culpado,so pertencer partido culpado,so pertenc part culp
Querem informações mais objetivas de que a cupula do governo está envolvida na petro?,Querem informações mais objetivas de que a cupula do governo está envolvida na petro?,0,Querem informações mais objetivas de que a cupula do governo está envolvida na petro,Querem informacoes mais objetivas de que a cupula do governo esta envolvida na petro,Querem informacoes objetivas cupula governo envolvida petro,querem informacoes objetivas cupula governo envolvida petro,quer informaco obje cupul govern envolv petr
e que as eleiçoes foram fraudadas?,e que as eleiçoes foram fraudadas?,0,e que as eleiçoes foram fraudadas,e que as eleicoes foram fraudadas,eleicoes fraudadas,eleicoes fraudadas,eleico fraud
Cada dia se avolumam mais... e ninguém faz nada de positivo.,Cada dia se avolumam mais... e ninguém faz nada de positivo.,0,Cada dia se avolumam mais e ninguém faz nada de positivo,Cada dia se avolumam mais e ninguem faz nada de positivo,Cada dia avolumam ninguem faz nada positivo,cada dia avolumam ninguem faz nada positivo,cad dia avolum ning faz nad posi
"Exceto publicar [notinhas]P5 em jornais, sem realmente esclarecer e concluir alguma coisa! </sentence>","Exceto publicar notinhas em jornais, sem realmente esclarecer e concluir alguma coisa! </sentence>",0,Exceto publicar notinhas em jornais sem realmente esclarecer e concluir alguma coisa sentence,Exceto publicar notinhas em jornais sem realmente esclarecer e concluir alguma coisa sentence,Exceto publicar notinhas jornais realmente esclarecer concluir alguma coisa sentence,exceto publicar notinhas jornais realmente esclarecer concluir alguma coisa sentence,excet public not jorn real esclarec conclu algum cois sentenc
Enquanto isso blindam os autores com esperanças para 2018!,Enquanto isso blindam os autores com esperanças para 2018!,0,Enquanto isso blindam os autores com esperanças para 2018,Enquanto isso blindam os autores com esperancas para 2018,Enquanto blindam autores esperancas 2018,enquanto blindam autores esperancas 2018,enquant blind autor esperanc 2018
É assim que sabem combater a corrupção.... blindando os corruptos!,É assim que sabem combater a corrupção.... blindando os corruptos!,0,É assim que sabem combater a corrupção blindando os corruptos,E assim que sabem combater a corrupcao blindando os corruptos,E assim sabem combater corrupcao blindando corruptos,e assim sabem combater corrupcao blindando corruptos,e assim sab combat corrupca blind corrupt
Governo dissimulado e mais ordinária que existe neste planeta depois da Venezuela e Coréia do Norte claro!,Governo dissimulado e mais ordinária que existe neste planeta depois da Venezuela e Coréia do Norte claro!,0,Governo dissimulado e mais ordinária que existe neste planeta depois da Venezuela e Coréia do Norte claro,Governo dissimulado e mais ordinaria que existe neste planeta depois da Venezuela e Coreia do Norte claro,Governo dissimulado ordinaria existe neste planeta Venezuela Coreia Norte claro,governo dissimulado ordinaria existe neste planeta venezuela coreia norte claro,govern dissimul ordin exist nest planet venezuel core nort clar
"Só se forem burros, pq pessoas normais SABEM que dinheiro não dá em árvores.","Só se forem burros, pq pessoas normais SABEM que dinheiro não dá em árvores.",0,Só se forem burros pq pessoas normais SABEM que dinheiro não dá em árvores,So se forem burros pq pessoas normais SABEM que dinheiro nao da em arvores,So burros pq pessoas normais SABEM dinheiro arvores,so burros pq pessoas normais sabem dinheiro arvores,so burr pq pesso norm sab dinh arv
É o velho SISTEMA que está sendo dissecado.,É o velho SISTEMA que está sendo dissecado.,0,É o velho SISTEMA que está sendo dissecado,E o velho SISTEMA que esta sendo dissecado,E velho SISTEMA sendo dissecado,e velho sistema sendo dissecado,e velh sistem send dissec
"Cada vez mais as pessoas assinarão embaixo daquilo que o ministro-juiz Barroso falou: [""não existe corrupção do PT - existe corrupção""]P1.","Cada vez mais as pessoas assinarão embaixo daquilo que o ministro-juiz Barroso falou: [""não existe corrupção do PT - existe corrupção""]P1.",0,Cada vez mais as pessoas assinarão embaixo daquilo que o ministrojuiz Barroso falou não existe corrupção do PT  existe corrupçãoP1,Cada vez mais as pessoas assinarao embaixo daquilo que o ministrojuiz Barroso falou nao existe corrupcao do PT  existe corrupcaoP1,Cada vez pessoas assinarao embaixo daquilo ministrojuiz Barroso falou existe corrupcao PT existe corrupcaoP1,cada vez pessoas assinarao embaixo daquilo ministrojuiz barroso falou existe corrupcao pt existe corrupcaop1,cad vez pesso assinara embaix daquil ministrojuiz barr fal exist corrupca pt exist corrupcaop1
"Fica cada vez mais claro que a chegada do Partido dos Trabalhadores ao poder, não pode ser a CAUSA da transformação dos (antes) [""honestos""]P1 empresários em corruptores...","Fica cada vez mais claro que a chegada do Partido dos Trabalhadores ao poder, não pode ser a CAUSA da transformação dos (antes) [""honestos""]P1 empresários em corruptores...",0,Fica cada vez mais claro que a chegada do Partido dos Trabalhadores ao poder não pode ser a CAUSA da transformação dos antes honestosP1 empresários em corruptores,Fica cada vez mais claro que a chegada do Partido dos Trabalhadores ao poder nao pode ser a CAUSA da transformacao dos antes honestosP1 empresarios em corruptores,Fica cada vez claro chegada Partido Trabalhadores poder pode ser CAUSA transformacao antes honestosP1 empresarios corruptores,fica cada vez claro chegada partido trabalhadores poder pode ser causa transformacao antes honestosp1 empresarios corruptores,fic cad vez clar cheg part trabalh pod pod ser caus transformaca ant honestosp1 empresari corrup
ninguém é [tão idiota]P6 assim!,ninguém é tão idiota assim!,0,ninguém é tão idiota assim,ninguem e tao idiota assim,ninguem tao idiota assim,ninguem tao idiota assim,ning tao idiot assim
Descobriu-se outro roubo da quadrilha.,Descobriu-se outro roubo da quadrilha.,0,Descobriuse outro roubo da quadrilha,Descobriuse outro roubo da quadrilha,Descobriuse outro roubo quadrilha,descobriuse outro roubo quadrilha,descobrius outr roub quadrilh
Agora envolve o  governador de Minas  quando este era ministro.,Agora envolve o  governador de Minas  quando este era ministro.,0,Agora envolve o  governador de Minas  quando este era ministro,Agora envolve o  governador de Minas  quando este era ministro,Agora envolve governador Minas ministro,agora envolve governador minas ministro,agor envolv govern min ministr
"Obra em Moçambique, nos moldes já detalhados, com propina (20 mi) para o partido via financiamento do 'bndes, descontada na fonte.","Obra em Moçambique, nos moldes já detalhados, com propina (20 mi) para o partido via financiamento do 'bndes, descontada na fonte.",0,Obra em Moçambique nos moldes já detalhados com propina 20 mi para o partido via financiamento do bndes descontada na fonte,Obra em Mocambique nos moldes ja detalhados com propina 20 mi para o partido via financiamento do bndes descontada na fonte,Obra Mocambique moldes detalhados propina 20 mi partido via financiamento bndes descontada fonte,obra mocambique moldes detalhados propina 20 mi partido via financiamento bndes descontada fonte,obr mocambiqu mold detalh propin 20 mi part via financ bnd descont font
"Se não fizermos alguma coisa drástica, serão capazes de corromper até a terceira geração de nossos filhos.","Se não fizermos alguma coisa drástica, serão capazes de corromper até a terceira geração de nossos filhos.",0,Se não fizermos alguma coisa drástica serão capazes de corromper até a terceira geração de nossos filhos,Se nao fizermos alguma coisa drastica serao capazes de corromper ate a terceira geracao de nossos filhos,Se fizermos alguma coisa drastica capazes corromper terceira geracao filhos,se fizermos alguma coisa drastica capazes corromper terceira geracao filhos,se fiz algum cois dras capaz corromp terc geraca filh
"[""Cem por cento da totalidade de todos""]P1 os integrantes do ParTido está completamente envolvida [intestinamente]P3 com todo o topo de conduta que visa apenas roubar e mentir sistematicamente.","[""Cem por cento da totalidade de todos""]P1 os integrantes do ParTido está completamente envolvida intestinamente com todo o topo de conduta que visa apenas roubar e mentir sistematicamente.",0,Cem por cento da totalidade de todosP1 os integrantes do ParTido está completamente envolvida intestinamente com todo o topo de conduta que visa apenas roubar e mentir sistematicamente,Cem por cento da totalidade de todosP1 os integrantes do ParTido esta completamente envolvida intestinamente com todo o topo de conduta que visa apenas roubar e mentir sistematicamente,Cem cento totalidade todosP1 integrantes ParTido completamente envolvida intestinamente todo topo conduta visa apenas roubar mentir sistematicamente,cem cento totalidade todosp1 integrantes partido completamente envolvida intestinamente todo topo conduta visa apenas roubar mentir sistematicamente,cem cent total todosp1 integr part complet envolv intestin tod top condut vis apen roub ment sistematic
Melhor que renunciem já antes que o rombo aumente.,Melhor que renunciem já antes que o rombo aumente.,0,Melhor que renunciem já antes que o rombo aumente,Melhor que renunciem ja antes que o rombo aumente,Melhor renunciem antes rombo aumente,melhor renunciem antes rombo aumente,melhor renunci ant romb aument
"Péssimo conselho, Eduardo.","Péssimo conselho, Eduardo.",0,Péssimo conselho Eduardo,Pessimo conselho Eduardo,Pessimo conselho Eduardo,pessimo conselho eduardo,pess conselh eduard
"Não lhe ocorre que, saindo o PT, é altíssimo o risco do Brasil voltar àquele passado [""silencioso""]P1?!","Não lhe ocorre que, saindo o PT, é altíssimo o risco do Brasil voltar àquele passado [""silencioso""]P1?!",0,Não lhe ocorre que saindo o PT é altíssimo o risco do Brasil voltar àquele passado silenciosoP1,Nao lhe ocorre que saindo o PT e altissimo o risco do Brasil voltar aquele passado silenciosoP1,Nao ocorre saindo PT altissimo risco Brasil voltar passado silenciosoP1,nao ocorre saindo pt altissimo risco brasil voltar passado silenciosop1,nao ocorr saind pt altiss risc brasil volt pass silenciosop1
"Não creia se disserem que [""nossas instituições continuarão fortes""]P1 pq basta o PSDB usar a velha estratégia de colocar pessoas amofinadas em cargos-chave.","Não creia se disserem que [""nossas instituições continuarão fortes""]P1 pq basta o PSDB usar a velha estratégia de colocar pessoas amofinadas em cargos-chave.",0,Não creia se disserem que nossas instituições continuarão fortesP1 pq basta o PSDB usar a velha estratégia de colocar pessoas amofinadas em cargoschave,Nao creia se disserem que nossas instituicoes continuarao fortesP1 pq basta o PSDB usar a velha estrategia de colocar pessoas amofinadas em cargoschave,Nao creia disserem instituicoes continuarao fortesP1 pq basta PSDB usar velha estrategia colocar pessoas amofinadas cargoschave,nao creia disserem instituicoes continuarao fortesp1 pq basta psdb usar velha estrategia colocar pessoas amofinadas cargoschave,nao cre diss instituico continuara fortesp1 pq bast psdb us velh estrateg coloc pesso amofin cargoschav
"É História : na Procuradoria Geral, havia o primo do vice.","É História : na Procuradoria Geral, havia o primo do vice.",0,É História  na Procuradoria Geral havia o primo do vice,E Historia  na Procuradoria Geral havia o primo do vice,E Historia Procuradoria Geral havia primo vice,e historia procuradoria geral havia primo vice,e hist procurad geral hav prim vic
"Dirigindo a Polícia Federal, um Tucano de [carteirinha]P5.","Dirigindo a Polícia Federal, um Tucano de carteirinha.",0,Dirigindo a Polícia Federal um Tucano de carteirinha,Dirigindo a Policia Federal um Tucano de carteirinha,Dirigindo Policia Federal Tucano carteirinha,dirigindo policia federal tucano carteirinha,dirig polic feder tucan carte
"Umas substituições aqui e ali, e pronto!","Umas substituições aqui e ali, e pronto!",0,Umas substituições aqui e ali e pronto,Umas substituicoes aqui e ali e pronto,Umas substituicoes aqui ali pronto,umas substituicoes aqui ali pronto,uma substituico aqu ali pront
"Voltamos ao [Tucpassado]P3, onde nunca sabíamos de [Tucanada]P3!","Voltamos ao Tucpassado, onde nunca sabíamos de Tucanada!",0,Voltamos ao Tucpassado onde nunca sabíamos de Tucanada,Voltamos ao Tucpassado onde nunca sabiamos de Tucanada,Voltamos Tucpassado onde nunca sabiamos Tucanada,voltamos tucpassado onde nunca sabiamos tucanada,volt tucpass ond nunc sabi tucan
Blindar significa proteger o chefe!,Blindar significa proteger o chefe!,0,Blindar significa proteger o chefe,Blindar significa proteger o chefe,Blindar significa proteger chefe,blindar significa proteger chefe,blind signif proteg chef
"Uma facção voltada para assaltar o país, minunciosamente organizada para proteger o seu chefe maior, tem uma escala de graduação e o que cada ente deve fazer!","Uma facção voltada para assaltar o país, minunciosamente organizada para proteger o seu chefe maior, tem uma escala de graduação e o que cada ente deve fazer!",0,Uma facção voltada para assaltar o país minunciosamente organizada para proteger o seu chefe maior tem uma escala de graduação e o que cada ente deve fazer,Uma faccao voltada para assaltar o pais minunciosamente organizada para proteger o seu chefe maior tem uma escala de graduacao e o que cada ente deve fazer,Uma faccao voltada assaltar pais minunciosamente organizada proteger chefe maior escala graduacao cada ente deve fazer,uma faccao voltada assaltar pais minunciosamente organizada proteger chefe maior escala graduacao cada ente deve fazer,uma facca volt assalt pal minuncios organiz proteg chef mai escal graduaca cad ent dev faz
"A verdade é só uma: Nem nas férias dos poderes eLLes conseguem ficar longe das manchetes, e sempre a palavra corruPTo fica colada neLLes!","A verdade é só uma: Nem nas férias dos poderes eLLes conseguem ficar longe das manchetes, e sempre a palavra corruPTo fica colada neLLes!",0,A verdade é só uma Nem nas férias dos poderes eLLes conseguem ficar longe das manchetes e sempre a palavra corruPTo fica colada neLLes,A verdade e so uma Nem nas ferias dos poderes eLLes conseguem ficar longe das manchetes e sempre a palavra corruPTo fica colada neLLes,A verdade Nem ferias poderes eLLes conseguem ficar longe manchetes sempre palavra corruPTo fica colada neLLes,a verdade nem ferias poderes elles conseguem ficar longe manchetes sempre palavra corrupto fica colada nelles,a verdad nem fer pod ell conseg fic long manchet sempr palavr corrupt fic col nell
"A PGR deve além do Cunha, abraçar os verdadeiros causadores de tudo e colocá-los no devido lugar!","A PGR deve além do Cunha, abraçar os verdadeiros causadores de tudo e colocá-los no devido lugar!",0,A PGR deve além do Cunha abraçar os verdadeiros causadores de tudo e colocálos no devido lugar,A PGR deve alem do Cunha abracar os verdadeiros causadores de tudo e colocalos no devido lugar,A PGR deve alem Cunha abracar verdadeiros causadores tudo colocalos devido lugar,a pgr deve alem cunha abracar verdadeiros causadores tudo colocalos devido lugar,a pgr dev alem cunh abrac verd caus tud colocal dev lug
"A julgar desta forma, os governos tucanos em SP estariam mais que comprometidos, pois deve ser lembrado que este jornal divulgou com antecipação de seis meses e registrou em cartório, resultados de licitações no metrô de SP.","A julgar desta forma, os governos tucanos em SP estariam mais que comprometidos, pois deve ser lembrado que este jornal divulgou com antecipação de seis meses e registrou em cartório, resultados de licitações no metrô de SP.",0,A julgar desta forma os governos tucanos em SP estariam mais que comprometidos pois deve ser lembrado que este jornal divulgou com antecipação de seis meses e registrou em cartório resultados de licitações no metrô de SP,A julgar desta forma os governos tucanos em SP estariam mais que comprometidos pois deve ser lembrado que este jornal divulgou com antecipacao de seis meses e registrou em cartorio resultados de licitacoes no metro de SP,A julgar desta forma governos tucanos SP estariam comprometidos pois deve ser lembrado jornal divulgou antecipacao seis meses registrou cartorio resultados licitacoes metro SP,a julgar desta forma governos tucanos sp estariam comprometidos pois deve ser lembrado jornal divulgou antecipacao seis meses registrou cartorio resultados licitacoes metro sp,a julg dest form govern tucan sp est compromet poi dev ser lembr jorn divulg antecipaca seil mes registr cartori result licitaco metr sp
E o que aconteceu?,E o que aconteceu?,0,E o que aconteceu,E o que aconteceu,E aconteceu,e aconteceu,e acontec
Absolutamente nada!,Absolutamente nada!,0,Absolutamente nada,Absolutamente nada,Absolutamente nada,absolutamente nada,absolut nad
O MP e o executivo não cumpriram a obrigação de zelar pelo patrimônio público.,O MP e o executivo não cumpriram a obrigação de zelar pelo patrimônio público.,0,O MP e o executivo não cumpriram a obrigação de zelar pelo patrimônio público,O MP e o executivo nao cumpriram a obrigacao de zelar pelo patrimonio publico,O MP executivo cumpriram obrigacao zelar patrimonio publico,o mp executivo cumpriram obrigacao zelar patrimonio publico,o mp execu cumpr obrigaca zel patrimoni publ
"Os apoiadores petistas vivem em uma segunda realidade, de histeria profunda.","Os apoiadores petistas vivem em uma segunda realidade, de histeria profunda.",0,Os apoiadores petistas vivem em uma segunda realidade de histeria profunda,Os apoiadores petistas vivem em uma segunda realidade de histeria profunda,Os apoiadores petistas vivem segunda realidade histeria profunda,os apoiadores petistas vivem segunda realidade histeria profunda,os apoi petist viv segund real hist profund
"O histérico não crê naquilo que vê, mas naquilo que diz e repete.","O histérico não crê naquilo que vê, mas naquilo que diz e repete.",0,O histérico não crê naquilo que vê mas naquilo que diz e repete,O histerico nao cre naquilo que ve mas naquilo que diz e repete,O histerico cre naquilo ve naquilo diz repete,o histerico cre naquilo ve naquilo diz repete,o hister cre naquil ve naquil diz repet
Incorrigíveis.,Incorrigíveis.,0,Incorrigíveis,Incorrigiveis,Incorrigiveis,incorrigiveis,incorrigi
"Ora Wilson, não seja ingênuo.","Ora Wilson, não seja ingênuo.",0,Ora Wilson não seja ingênuo,Ora Wilson nao seja ingenuo,Ora Wilson ingenuo,ora wilson ingenuo,ora wilson ingenu
Houvesse tudo aquilo que você mencionou não haveria necessidade de delações; estaria tudo provado.,Houvesse tudo aquilo que você mencionou não haveria necessidade de delações; estaria tudo provado.,0,Houvesse tudo aquilo que você mencionou não haveria necessidade de delações estaria tudo provado,Houvesse tudo aquilo que voce mencionou nao haveria necessidade de delacoes estaria tudo provado,Houvesse tudo mencionou haveria necessidade delacoes estaria tudo provado,houvesse tudo mencionou haveria necessidade delacoes estaria tudo provado,houv tud mencion hav necess delaco est tud prov
"O delator, pressionado, atira de olhos fechados para todos os lados.","O delator, pressionado, atira de olhos fechados para todos os lados.",0,O delator pressionado atira de olhos fechados para todos os lados,O delator pressionado atira de olhos fechados para todos os lados,O delator pressionado atira olhos fechados todos lados,o delator pressionado atira olhos fechados todos lados,o dela pression atir olh fech tod lad
"Se acertar em alguém,significa menor tempo preso.","Se acertar em alguém,significa menor tempo preso.",0,Se acertar em alguémsignifica menor tempo preso,Se acertar em alguemsignifica menor tempo preso,Se acertar alguemsignifica menor tempo preso,se acertar alguemsignifica menor tempo preso,se acert alguemsignif men temp pres
