sentenca_original,sentenca_processada1,classificacao
Cada problema a seu tempo.,Cada problema a seu tempo.,0
O impeachment por ora é só o seu.,O impeachment por ora é só o seu.,-1
"Depois que vc cair, porque vai cair, vamos ver os outros políticos que devem ser também retirados de vez do cenário político.","Depois que vc cair, porque vai cair, vamos ver os outros políticos que devem ser também retirados de vez do cenário político.",-1
Nem queremos mais sua renúncia.,Nem queremos mais sua renúncia.,0
Agora queremos seu impeachment.,Agora queremos seu impeachment.,0
"Assim, a sucessão ocorrerá mais rapidamente.","Assim, a sucessão ocorrerá mais rapidamente.",0
Tchau querida!,Tchau querida!,1
"Duvido da sinceridade dela, mas vou elucubrar...","Duvido da sinceridade dela, mas vou elucubrar...",-1
"Não poderiam participar nenhum dos 500 listados pela empreiteira , assim como nenhum dos atuais congressistas processados pelo que seja (são 370 dos 594)...","Não poderiam participar nenhum dos 500 listados pela empreiteira , assim como nenhum dos atuais congressistas processados pelo que seja (são 370 dos 594)...",0
"Lógico que [elazinha]P5 e o temer ficariam de fora, assim como o lils, claro...","Lógico que elazinha e o temer ficariam de fora, assim como o lils, claro...",1
Aí seria o céu!,Aí seria o céu!,1
"Mas, voltando para terra, vamos concordar que todos que não tenha sido condenado em primeira instância, possa se candidatar.","Mas, voltando para terra, vamos concordar que todos que não tenha sido condenado em primeira instância, possa se candidatar.",0
"Eu, particularmente gostaria de saber se o eleitor amadureceu com toda essa crise.","Eu, particularmente gostaria de saber se o eleitor amadureceu com toda essa crise.",0
"Se o povo votar em candidatos processados ou que tenham tido os nomes envolvidos com as empreiteiras, então vai ser um problema daqueles que votaram.","Se o povo votar em candidatos processados ou que tenham tido os nomes envolvidos com as empreiteiras, então vai ser um problema daqueles que votaram.",0
Eu lavo as minhas mãos e vou cuidar das minhas empresas que eu ganho muito mais.,Eu lavo as minhas mãos e vou cuidar das minhas empresas que eu ganho muito mais.,0
"Nesse ponto, eleições gerais, concordo com a presidente.","Nesse ponto, eleições gerais, concordo com a presidente.",0
Por enquanto impeachment.,Por enquanto impeachment.,0
"Quando ela sumir do planalto, a população poderá falar em novas eleições.","Quando ela sumir do planalto, a população poderá falar em novas eleições.",0
"Por ora, o objetivo é que o país se livre desse mau maior.","Por ora, o objetivo é que o país se livre desse mau maior.",0
"Quando esta senhora fala, atualmente até as flores murcham.","Quando esta senhora fala, atualmente até as flores murcham.",1
"Que desânimo, meu Deus !","Que desânimo, meu Deus !",1
"Vai prá casa, Padilma !","Vai prá casa, Padilma !",1
"Vamos sonhar um [pouquinho]P5 e acreditar que desta vez, vai ser verdade!","Vamos sonhar um pouquinho e acreditar que desta vez, vai ser verdade!",1
"Gente, ela apenas disse que conversaria sobre o assunto.","Gente, ela apenas disse que conversaria sobre o assunto.",0
"Agora, se for verdade, é um ato sensato e justo.","Agora, se for verdade, é um ato sensato e justo.",0
Até porque seria uma economia de bilhões para o país o fato de ter apenas uma eleição a cada quatro anos.,Até porque seria uma economia de bilhões para o país o fato de ter apenas uma eleição a cada quatro anos.,0
Eleições gerais já!,Eleições gerais já!,0
"Até para escrever uma coisa simples, tenho que fazer malabarismo com as palavras.","Até para escrever uma coisa simples, tenho que fazer malabarismo com as palavras.",1
"Este [""Journal""]P1 censura mais que a ditadura.","Este [""Journal""]P1 censura mais que a ditadura.",1
"[Certinha]P5 ela, mas o congresso não tem coragem de aceitar eleições já","Certinha ela, mas o congresso não tem coragem de aceitar eleições já",0
#geraisja,#geraisja,0
"boa Diilma, agora que o impeachment virou pó, vamos zerar o jogo, vitória popular!","boa Diilma, agora que o impeachment virou pó, vamos zerar o jogo, vitória popular!",0
"Sra. Dilma, essa foi a sua melhor fala desde a sua posse.","Sra. Dilma, essa foi a sua melhor fala desde a sua posse.",1
O povo brasileiro apoia a sua proposta.,O povo brasileiro apoia a sua proposta.,0
Renúncia geral !,Renúncia geral !,0
Maravilhoso !,Maravilhoso !,-1
Nossa!,Nossa!,0
"achei que nunca iria concordar com uma palavra dela, parabéns!","achei que nunca iria concordar com uma palavra dela, parabéns!",-1
"Uma luz no fim do túnel, eleições gerais de vereador a ministro do supremo!","Uma luz no fim do túnel, eleições gerais de vereador a ministro do supremo!",-1
"Agora começa, Marco Aurélio que defende a Dilma manda incluir o afastamento do Vice junto, assim seria uma forma de pressionar todos para impedir a votação do impeachment e mantê-los no poder.","Agora começa, Marco Aurélio que defende a Dilma manda incluir o afastamento do Vice junto, assim seria uma forma de pressionar todos para impedir a votação do impeachment e mantê-los no poder.",-1
Por outro lado se o TSE ter provas da fraude eleitoral que autoriza a cassação da chapa e pronto.,Por outro lado se o TSE ter provas da fraude eleitoral que autoriza a cassação da chapa e pronto.,-1
"Agora fica esta briga partidária, afinal quem comeu a Dilma?","Agora fica esta briga partidária, afinal quem comeu a Dilma?",1
"Credo, mas isso seria de um péssimo gosto, a carniça deve estar estragada.","Credo, mas isso seria de um péssimo gosto, a carniça deve estar estragada.",1
"Isso, eleições gerais já é os que aí estão não podem concorrer","Isso, eleições gerais já é os que aí estão não podem concorrer",0
"Parabéns, Presidenta!","Parabéns, Presidenta!",0
Perfeito.,Perfeito.,0
Acho que é a primeira vez que essa senhora tem um pensamento correto.,Acho que é a primeira vez que essa senhora tem um pensamento correto.,1
"Isso estaria de bom tamanho, nova eleição presidencial, nova eleição para deputados e para senadores, todos, sem exceção, sendo que nenhum que esta hoje no cargo pode ser candidato.","Isso estaria de bom tamanho, nova eleição presidencial, nova eleição para deputados e para senadores, todos, sem exceção, sendo que nenhum que esta hoje no cargo pode ser candidato.",0
"E nem réu na lava jato, ou qualquer outra investigação","E nem réu na lava jato, ou qualquer outra investigação",0
"Que as cobras e lagartos sejam afastados, sem manobras ou uso da máquina pra manter o projeto, sem hbandidos, que aqueles que deveriam zelar pela Petrobras e não zelaram sejam afastados do processo, que aqueles que não sabiam de nada sejam afastados porque fortunas foram hroubadas debaixo dos seus [focinhos]P5 e isto é demonstração de irresponsabilidade com a coisa pública.","Que as cobras e lagartos sejam afastados, sem manobras ou uso da máquina pra manter o projeto, sem hbandidos, que aqueles que deveriam zelar pela Petrobras e não zelaram sejam afastados do processo, que aqueles que não sabiam de nada sejam afastados porque fortunas foram hroubadas debaixo dos seus focinhos e isto é demonstração de irresponsabilidade com a coisa pública.",0
"Pessoal sei que não tem haver, mas quem viu o [filminho]P5 da Janaina?","Pessoal sei que não tem haver, mas quem viu o filminho da Janaina?",1
Da até medo né ?,Da até medo né ?,1
A verdadeira expressão do descontrole.,A verdadeira expressão do descontrole.,1
É isso mesmo que queremos ?,É isso mesmo que queremos ?,-1
"Entre a dilma, temer ou cunha, vamos de nova eleição.","Entre a dilma, temer ou cunha, vamos de nova eleição.",-1
Assim cala a boca de todos e ninguém vai ficar dizendo que é golpe.,Assim cala a boca de todos e ninguém vai ficar dizendo que é golpe.,-1
Entre os 3 que você citou?,Entre os 3 que você citou?,0
Quer continuar a destruir o país?,Quer continuar a destruir o país?,1
Dilma agora foi perfeita.,Dilma agora foi perfeita.,0
É exatamente isso.,É exatamente isso.,0
"A melhor proposta nesse sentido que vi até agora foi do senador Paulo Paim, que este jornal, pelo visto não deu.","A melhor proposta nesse sentido que vi até agora foi do senador Paulo Paim, que este jornal, pelo visto não deu.",0
"Convocar e eleger uma Assembleia para realizar a reforma política, sendo que os participantes não poderão se candidatar nas próximas eleições e os atuais que quiserem participar devem renunciar aos atuais cargos.","Convocar e eleger uma Assembleia para realizar a reforma política, sendo que os participantes não poderão se candidatar nas próximas eleições e os atuais que quiserem participar devem renunciar aos atuais cargos.",0
"Terminada essa Assembleia, é feito um plebiscito para aprovar as mudanças e realiza-se eleições gerais.","Terminada essa Assembleia, é feito um plebiscito para aprovar as mudanças e realiza-se eleições gerais.",0
Pronto.,Pronto.,0
"os pe.tral.lhas agora acham que por conta de uma só pessoa, o país deve rever até as próprias cuecas.","os pe.tral.lhas agora acham que por conta de uma só pessoa, o país deve rever até as próprias cuecas.",0
É dar importância demais a uma pessoa absoluta inútil e dispensável como é o caso da atual chefe do executivo.,É dar importância demais a uma pessoa absoluta inútil e dispensável como é o caso da atual chefe do executivo.,0
O mal desse país se chama dilma roussef.,O mal desse país se chama dilma roussef.,0
E desse mal que o país precisa se livrar.,E desse mal que o país precisa se livrar.,0
Os outros males a justiça tratará de identiticar e de punir.,Os outros males a justiça tratará de identiticar e de punir.,0
A urgência não permite novas eleições.,A urgência não permite novas eleições.,0
"A situação é pessima, e tende a piorar por falta de comando.","A situação é pessima, e tende a piorar por falta de comando.",0
"Realmente o que poderia iniciar uma mudança radical, seria uma reforma politica efetiva, que não é o sonho da maioria dos politicos, inclusive com mudança de regime para parlamentarismo.","Realmente o que poderia iniciar uma mudança radical, seria uma reforma politica efetiva, que não é o sonho da maioria dos politicos, inclusive com mudança de regime para parlamentarismo.",0
"Isso...novas eleições amplas,gerais e irrestrita...","Isso...novas eleições amplas,gerais e irrestrita...",0
Concordo!,Concordo!,0
"Não abrir mão de mandatos: isso e pura malandragem, eles vão dominar o Planalto.","Não abrir mão de mandatos: isso e pura malandragem, eles vão dominar o Planalto.",0
Abrir mão e entregar tudo.,Abrir mão e entregar tudo.,0
O Ministro Cardozo faz como todo Cumpanhero.,O Ministro Cardozo faz como todo Cumpanhero.,-1
"Incapaz de rebater o caso Petrolão, o desrespeito à Lei de responsabilidade Fiscal e a desfiguração do Orçamento da União, ele centra a defesa da Madama em Eduardo Cunha.","Incapaz de rebater o caso Petrolão, o desrespeito à Lei de responsabilidade Fiscal e a desfiguração do Orçamento da União, ele centra a defesa da Madama em Eduardo Cunha.",-1
"Malandrão, como todo Cumpanhero agarrado a uma das tetas desse Desgoverno.","Malandrão, como todo Cumpanhero agarrado a uma das tetas desse Desgoverno.",-1
"Gosto da ideia de novas eleições gerais, até porque a economia seria grande, isto é a coincidência de todas as eleições neste país.","Gosto da ideia de novas eleições gerais, até porque a economia seria grande, isto é a coincidência de todas as eleições neste país.",0
Acabaria com a história de ter eleições quase todos os anos.,Acabaria com a história de ter eleições quase todos os anos.,0
Não concordo que o mo lusco e sua ecocria seriam beneficiados.,Não concordo que o mo lusco e sua ecocria seriam beneficiados.,-1
O povo não sabe e certamente com esta crise evoluiu muito.,O povo não sabe e certamente com esta crise evoluiu muito.,0
"Para tanto precisaria realmente um grande pacto nacional, onde todos abririam mãos de seus cargos, topando a redução de seus mandatos.","Para tanto precisaria realmente um grande pacto nacional, onde todos abririam mãos de seus cargos, topando a redução de seus mandatos.",0
"Alguém acredita neste congresso,se querem eleições que sejam gerais,após reformas.","Alguém acredita neste congresso,se querem eleições que sejam gerais,após reformas.",0
Exato.,Exato.,0
"A melhor proposta nesse sentido que vi até agora foi do senador Paulo Paim, que este jornal, pelo visto não deu...","A melhor proposta nesse sentido que vi até agora foi do senador Paulo Paim, que este jornal, pelo visto não deu...",0
"Convocar e eleger uma Assembleia para realizar a reforma política, sendo que os participantes não poderão se candidatar nas próximas eleições e os atuais que quiserem participar devem renunciar aos atuais cargos.","Convocar e eleger uma Assembleia para realizar a reforma política, sendo que os participantes não poderão se candidatar nas próximas eleições e os atuais que quiserem participar devem renunciar aos atuais cargos.",0
"Terminada essa Assembleia, é feito um plebiscito para aprovar as mudanças e realiza-se eleições gerais.","Terminada essa Assembleia, é feito um plebiscito para aprovar as mudanças e realiza-se eleições gerais.",0
Pronto.,Pronto.,0
Eleições patrocinadas pelo ParTido neste clima de insatisfação é o mais puro golpe que a esquerda totalitarista pode dar no estado de direito.,Eleições patrocinadas pelo ParTido neste clima de insatisfação é o mais puro golpe que a esquerda totalitarista pode dar no estado de direito.,0
"Há que se tocar o impeachment, já que essa senhora não possui as mínimas condições de governar pois patrocina e avaliza o maior roubo da história da humanidade.","Há que se tocar o impeachment, já que essa senhora não possui as mínimas condições de governar pois patrocina e avaliza o maior roubo da história da humanidade.",0
"Se ela tivesse o mínimo de honra, dignidade, caráter, coragem e espírito cívico já teria renunciado!","Se ela tivesse o mínimo de honra, dignidade, caráter, coragem e espírito cívico já teria renunciado!",0
Golpistas estão sempre contra eleições...,Golpistas estão sempre contra eleições...,0
"força Temer tira essa gentalha toda dai, gentalha !!!","força Temer tira essa gentalha toda dai, gentalha !!!",-1
vamos por partes como o esquartejador diz primeiro a cabeça depois os membros mas esse peithe tem que ser esfacelado junto vom essa sinistra brasileira ingnorante e hipo crita,vamos por partes como o esquartejador diz primeiro a cabeça depois os membros mas esse peithe tem que ser esfacelado junto vom essa sinistra brasileira ingnorante e hipo crita,1
O planalto só Temer,O planalto só Temer,1
"Na ânsia de agradar, o janota acabou sujando!","Na ânsia de agradar, o janota acabou sujando!",0
Bem feito!,Bem feito!,1
"Da série:[""Como afundar um país""]P1.","Da série:[""Como afundar um país""]P1.",1
"Basta ter uma diminuta noção de um país, para entender que não é deixando os erros acontecerem, que vai permitir subir ao palanque.","Basta ter uma diminuta noção de um país, para entender que não é deixando os erros acontecerem, que vai permitir subir ao palanque.",0
Basicamente assim agem os órgãos que dirigem ou administram essa terra que chamamos de país.,Basicamente assim agem os órgãos que dirigem ou administram essa terra que chamamos de país.,0
"Absolutamente todos, ou quase todos, órgãos recheados de sumidades, e [""não me toque""]P1, não conseguiram distinguir do administrar uma nação e dirigir um carro.","Absolutamente todos, ou quase todos, órgãos recheados de sumidades, e [""não me toque""]P1, não conseguiram distinguir do administrar uma nação e dirigir um carro.",0
"E o carro pifou, agora vamos juntar forças para que pegue no [""tranco""]P1.","E o carro pifou, agora vamos juntar forças para que pegue no [""tranco""]P1.",0
Vai lamber sabão Zé Eduardo !,Vai lamber sabão Zé Eduardo !,1
"A encomenda do governo junto a justiça vai acabar saindo pela culatra, o impeachment vai a 300 por hora.","A encomenda do governo junto a justiça vai acabar saindo pela culatra, o impeachment vai a 300 por hora.",0
Match 10! [Kkkkkkkkk]P5,Match 10! Kkkkkkkkk,1
"Esperteza demais, dá nisso !!","Esperteza demais, dá nisso !!",-1
"O mister Cunha aceitou um, contra Dilma, por ela não ter compactuado com sua defesa que ele almejava, e recusou outro, do amigo de Golpe, sendo que os dois são do Poder Executivo sob as mesmas acusações !","O mister Cunha aceitou um, contra Dilma, por ela não ter compactuado com sua defesa que ele almejava, e recusou outro, do amigo de Golpe, sendo que os dois são do Poder Executivo sob as mesmas acusações !",0
"Cunha se julga grande estrategista... esquece que Deus perscruta o que vai em nosso coração e age de jeito [tão impensável]P6, que demonstra sua existência para além do tempo e do espaço.","Cunha se julga grande estrategista... esquece que Deus perscruta o que vai em nosso coração e age de jeito tão impensável, que demonstra sua existência para além do tempo e do espaço.",0
Quem diria que o desalmado viria a ser o impedimento do impedimento ?!!,Quem diria que o desalmado viria a ser o impedimento do impedimento ?!!,1
"Quanto mais o planalto mexe, pior fica para o planalto.","Quanto mais o planalto mexe, pior fica para o planalto.",0
"A isto dá-se o nome de [""Feitiço que vira-se contra a feiticeira""]P1.","A isto dá-se o nome de [""Feitiço que vira-se contra a feiticeira""]P1.",1
Não dá prá desmanchar.,Não dá prá desmanchar.,0
Que [peninha]P5.,Que peninha.,1
"Ohh Wilson que ilson, para com ilson, deixa de ser alienadilson, pitilson e psdbilson são são o mesmo lixilson.","Ohh Wilson que ilson, para com ilson, deixa de ser alienadilson, pitilson e psdbilson são são o mesmo lixilson.",1
Mazinho vc faz jús ao nome.,Mazinho vc faz jús ao nome.,1
Procure melhorar e argumente ao invés de tentar fazer [piadinhas]P5 sem graça.,Procure melhorar e argumente ao invés de tentar fazer piadinhas sem graça.,-1
Discordo deste pedido de impedimento: as pedaladas nãao são crimes de responsabilidade.,Discordo deste pedido de impedimento: as pedaladas nãao são crimes de responsabilidade.,0
oh sao passeios de bike da dama da bulgaria,oh sao passeios de bike da dama da bulgaria,1
Você já leu a constituição federaL ?,Você já leu a constituição federaL ?,1
"""Art. 85. São crimes de responsabilidade os atos do Presidente da República que atentem contra a Constituição Federal e, especialmente, contra: [...] VI - a lei orçamentária. ""","""Art. 85. São crimes de responsabilidade os atos do Presidente da República que atentem contra a Constituição Federal e, especialmente, contra: [...] VI - a lei orçamentária. """,0
o ministro gosta de parecer excêntrico.,o ministro gosta de parecer excêntrico.,1
Esta exagerando.,Esta exagerando.,0
"Ontem no roda-viva, foi patético.","Ontem no roda-viva, foi patético.",0
Poderia procurar os holofotes exercendo dignamente sua função.,Poderia procurar os holofotes exercendo dignamente sua função.,0
"Moro deve incomodá-lo, muito.","Moro deve incomodá-lo, muito.",-1
Vivemos tempos estranhos no STF.,Vivemos tempos estranhos no STF.,1
"Quem pensa que a luta está no fim, pode esquecer.","Quem pensa que a luta está no fim, pode esquecer.",0
O alerta vermelho não pode ser desligado.,O alerta vermelho não pode ser desligado.,0
Não voltem atrás !,Não voltem atrás !,0
Mantenha a roda da carroça apertado.,Mantenha a roda da carroça apertado.,0
"Como dizia minha sogra, ["" carroça de boi só canta com a roda apertado ""]P1.","Como dizia minha sogra, ["" carroça de boi só canta com a roda apertado ""]P1.",1
como diziam os antigos : uma coisa uma coisa outra coisa outra coisa .,como diziam os antigos : uma coisa uma coisa outra coisa outra coisa .,1
[dilmentira]P3 pedalou para levar 2014 .,dilmentira pedalou para levar 2014 .,-1
"ter que provar que temer pedalar , assinar os pedais . duvido que isto tenha acontecido.","ter que provar que temer pedalar , assinar os pedais . duvido que isto tenha acontecido.",0
"Logo , o ministro está mais para embaralhar do que resolver . acreditar que o entendimento dos outros ministros não ser o mesmo . onde este senhor se formou ?","Logo , o ministro está mais para embaralhar do que resolver . acreditar que o entendimento dos outros ministros não ser o mesmo . onde este senhor se formou ?",-1
Na escola dos larapios ?,Na escola dos larapios ?,1
"quem vier falar em ética , nesta altura do campeonato, só pode estar brincando com a verdade.","quem vier falar em ética , nesta altura do campeonato, só pode estar brincando com a verdade.",-1
Depois de tudo que aconteceu não basta o pais estar no chão ?,Depois de tudo que aconteceu não basta o pais estar no chão ?,0
querem chegar onde ?,querem chegar onde ?,0
"Na china , do outro lado ?","Na china , do outro lado ?",1
Realmente a ética está com o peemedebe de cunha.,Realmente a ética está com o peemedebe de cunha.,1
A decisão de Marco Aurélio é contraditória já que o próprio STF decidiu recentemente em plenário que cabe exclusivamente ao presidente da Câmara decidir pela admissibilidade ou não de um pedido de impeachment.,A decisão de Marco Aurélio é contraditória já que o próprio STF decidiu recentemente em plenário que cabe exclusivamente ao presidente da Câmara decidir pela admissibilidade ou não de um pedido de impeachment.,0
"Se o STF mantiver a liminar, então todos os pedidos anteriores de impeachment contra a presidente que foram arquivados pelo presidente da Câmara terão que ser desarquivados e comissões especiais instaladas para cada um deles.","Se o STF mantiver a liminar, então todos os pedidos anteriores de impeachment contra a presidente que foram arquivados pelo presidente da Câmara terão que ser desarquivados e comissões especiais instaladas para cada um deles.",0
"No final, será um tiro no pé para o governo.","No final, será um tiro no pé para o governo.",0
"A filha do eminente Min prolator da liminar foi nomeada recentemente Desembargadora Federal do TRF 2 região, com apenas 37 anos pela presidente.","A filha do eminente Min prolator da liminar foi nomeada recentemente Desembargadora Federal do TRF 2 região, com apenas 37 anos pela presidente.",0
Ele agora está pagando ....,Ele agora está pagando ....,-1
Triste.,Triste.,1
O S.T.F. em novembro e dezembro últimos decidiu que é atribuição exclusiva do Presidente da Câmara determinar ou não o início do trâmite do processo de impedimento.,O S.T.F. em novembro e dezembro últimos decidiu que é atribuição exclusiva do Presidente da Câmara determinar ou não o início do trâmite do processo de impedimento.,0
Rezemos para que o Plenário do S.T.F. cancele essa absurda decisão sem qualquer fundamento.,Rezemos para que o Plenário do S.T.F. cancele essa absurda decisão sem qualquer fundamento.,0
Existe acordo contra o impeachment ?,Existe acordo contra o impeachment ?,1
Quem esta propondo isto????,Quem esta propondo isto????,1
"Para dizer um mínimo, essa decisão do ministro que teve a indicação da filha ..., é risível, pois não tem base legal.","Para dizer um mínimo, essa decisão do ministro que teve a indicação da filha ..., é risível, pois não tem base legal.",0
"Pessoal, para quem ainda não percebeu: o impeachment acabou. Vitoria popular","Pessoal, para quem ainda não percebeu: o impeachment acabou. Vitoria popular",-1
Estou perplexo.,Estou perplexo.,0
Aqui td acontece.,Aqui td acontece.,0
Se enchermos as ruas só no carnaval estaremos literalmente na me.rda....,Se enchermos as ruas só no carnaval estaremos literalmente na me.rda....,0
"A sociedade dará a resposta a este [""ministro""]P1.","A sociedade dará a resposta a este [""ministro""]P1.",0
Vai acabar saindo junto com o ParTido.,Vai acabar saindo junto com o ParTido.,0
Pois tem os mesmos métodos e praticas ilegais.,Pois tem os mesmos métodos e praticas ilegais.,0
"Não foi o Gilmar Mendes que patrocinou um fórum em Portugal e convidou Temer,Aécio e Serra?","Não foi o Gilmar Mendes que patrocinou um fórum em Portugal e convidou Temer,Aécio e Serra?",0
"Consta q alguns importantes políticos portugueses convidados não compareceram e pessoas gritaram na chegada das autoridades ["" não haverá golpe""]P1.","Consta q alguns importantes políticos portugueses convidados não compareceram e pessoas gritaram na chegada das autoridades ["" não haverá golpe""]P1.",0
"Se, de fato, as acusações contra Temer são verdadeiras, será necessária a instauração de processo contra ele, sem dúvida.","Se, de fato, as acusações contra Temer são verdadeiras, será necessária a instauração de processo contra ele, sem dúvida.",0
"Mas, gostaria de saber o que diriam Lula, PT, seguidores e puxa-sacos de toda ordem.","Mas, gostaria de saber o que diriam Lula, PT, seguidores e puxa-sacos de toda ordem.",0
"Não há dúvida de que é preciso zerar a vida política no Brasil; deveriam renunciar todos os apanhados em práticas delituosas e marcar novas eleições, com candidatos de folha corrida política e criminal limpa, sem presunção de culpa, já que a de inocência poucos têm.","Não há dúvida de que é preciso zerar a vida política no Brasil; deveriam renunciar todos os apanhados em práticas delituosas e marcar novas eleições, com candidatos de folha corrida política e criminal limpa, sem presunção de culpa, já que a de inocência poucos têm.",0
"primeiro caso da presidente depois do vice . se ele pedalou ou não , pois as pedaladas foram para levar as eleições de 2014 aprovadas pela presidente conscientemente .","primeiro caso da presidente depois do vice . se ele pedalou ou não , pois as pedaladas foram para levar as eleições de 2014 aprovadas pela presidente conscientemente .",0
"Agora ficou bom, junta tudo no mesmo saco e mete o pé !","Agora ficou bom, junta tudo no mesmo saco e mete o pé !",1
"Agora só falta o Cunha, mas esse eu acho que a lavajato já dá conta.","Agora só falta o Cunha, mas esse eu acho que a lavajato já dá conta.",1
Cunha e Lula pra ficar na historia.,Cunha e Lula pra ficar na historia.,1
"O [""ministro""]P1 do ParTido, marco aurélio mello, assim mesmo sem letra capital, está cometendo desatinos.","O [""ministro""]P1 do ParTido, marco aurélio mello, assim mesmo sem letra capital, está cometendo desatinos.",0
Um poder não pode se intrometer dessa maneira em outro.,Um poder não pode se intrometer dessa maneira em outro.,0
"Golpe, que está mesmo armando um?","Golpe, que está mesmo armando um?",1
"O ministro Gilmar Mendes patrocinou fórum em Portugal com a presença de Serra,com quem tinha sido fotografado em restaurante dias antes.","O ministro Gilmar Mendes patrocinou fórum em Portugal com a presença de Serra,com quem tinha sido fotografado em restaurante dias antes.",0
Isto não me parece recomendável a um ministro do Supremo.,Isto não me parece recomendável a um ministro do Supremo.,-1
Moderadores não é verdade que o ministro Joaquim Barbosa deu uma chamada histórica no Gilmar Mendes?,Moderadores não é verdade que o ministro Joaquim Barbosa deu uma chamada histórica no Gilmar Mendes?,1
4ALL da onde vem tanto humor inteligente?,4ALL da onde vem tanto humor inteligente?,1
"wilson,é nome de bola de baskette,nada mais","wilson,é nome de bola de baskette,nada mais",1
Porque vcs moderam verdades públicas e notórias e permitem que leitores sejam extremamente agressivos expressando- se com vocabulário grosseiro apenas por não conseguir conviver com o contraditório?,Porque vcs moderam verdades públicas e notórias e permitem que leitores sejam extremamente agressivos expressando- se com vocabulário grosseiro apenas por não conseguir conviver com o contraditório?,0
Ingerência de Poder sobre outro.,Ingerência de Poder sobre outro.,0
O presidente da Câmara tem um trunfo; dar andamento aos mais de trinta pedidos de impeachment contra a presidente.,O presidente da Câmara tem um trunfo; dar andamento aos mais de trinta pedidos de impeachment contra a presidente.,0
E deixe a coisa embolar.,E deixe a coisa embolar.,-1
"e a farra vai continuar...,","e a farra vai continuar...,",1
"se é verdade que a filha dele recebeu benefícios da dilma, está explicado..","se é verdade que a filha dele recebeu benefícios da dilma, está explicado..",-1
"Tirando o Dr Moro, resto fode o país.....","Tirando o Dr Moro, resto fode o país.....",0
Parabéns Marra!,Parabéns Marra!,0
Parabéns Mello!,Parabéns Mello!,0
"Oh Luiz, você está inocente, pois não sabe que o Ministro está pagando o favor que deve a Dilma, que é a nomeação de sua filha para o Tribunal Regional Federal, como desembargadora.","Oh Luiz, você está inocente, pois não sabe que o Ministro está pagando o favor que deve a Dilma, que é a nomeação de sua filha para o Tribunal Regional Federal, como desembargadora.",1
"Acontece, porém, que o Ministro está exagerando, pagando mais do que o favor merece, ou será que merece tanto.","Acontece, porém, que o Ministro está exagerando, pagando mais do que o favor merece, ou será que merece tanto.",-1
Estou completamente atônita.... onde está a independência dos poderes?,Estou completamente atônita.... onde está a independência dos poderes?,0
O STF é que julga tudo agora?,O STF é que julga tudo agora?,1
Em que país estou afinal?,Em que país estou afinal?,1
Wilson... isto é outro assunto.,Wilson... isto é outro assunto.,0
"O tema principal é o despacho do STF que todos sabem é a interferencia do STF nos outros poderes, que são independentes.","O tema principal é o despacho do STF que todos sabem é a interferencia do STF nos outros poderes, que são independentes.",0
Cada assunto tem seu momento.,Cada assunto tem seu momento.,0
Atônitos estamos todos nós observando o cunha a comandar processo de impedimento.,Atônitos estamos todos nós observando o cunha a comandar processo de impedimento.,0
A decisão de Marco Aurélio é contraditória já que o próprio STF decidiu recentemente em plenário que cabe exclusivamente ao presidente da Câmara decidir pela admissibilidade ou não de um pedido de impeachment.,A decisão de Marco Aurélio é contraditória já que o próprio STF decidiu recentemente em plenário que cabe exclusivamente ao presidente da Câmara decidir pela admissibilidade ou não de um pedido de impeachment.,0
"Se o STF mantiver a liminar, então todos os pedidos anteriores de impeachment contra a presidente que foram arquivados pelo presidente da Câmara terão que ser desarquivados e comissões especiais instaladas para cada um deles.","Se o STF mantiver a liminar, então todos os pedidos anteriores de impeachment contra a presidente que foram arquivados pelo presidente da Câmara terão que ser desarquivados e comissões especiais instaladas para cada um deles.",0
"No final, será um tiro no pé para o governo.","No final, será um tiro no pé para o governo.",0
O João falou com muito propriedade.,O João falou com muito propriedade.,0
Está rigorosamente certo.,Está rigorosamente certo.,0
Precisamos acabar com essa nojeira de dois pesos e duas medidas.,Precisamos acabar com essa nojeira de dois pesos e duas medidas.,0
Que tal o Congresso fazer uma lei que impede o supremo de interferir???,Que tal o Congresso fazer uma lei que impede o supremo de interferir???,1
"Absurdo, certo?","Absurdo, certo?",1
É o mesmo que o supremos vem fazendo...,É o mesmo que o supremos vem fazendo...,-1
Quero saber porque o STF ainda não botou o trapaceiro ChicuCunha detrás das grandes!!??,Quero saber porque o STF ainda não botou o trapaceiro ChicuCunha detrás das grandes!!??,-1
"Esse ministro do S T F quer atropelar os trabalhos do Legislativo, arquivar não quer dizer que, em um segundo momento, o processo de impeachment contra temer não vai ter andamento.","Esse ministro do S T F quer atropelar os trabalhos do Legislativo, arquivar não quer dizer que, em um segundo momento, o processo de impeachment contra temer não vai ter andamento.",0
"Onde no programa Roda Viva da tv cultura, mostrou-se um tremendo embrulhão e com viés mal intencionado, ao mesmo tempo fazia duras críticas as delações da Lava Jato e afagava o juiz Moro, uma vez que o mesmo tem o apoio popular.","Onde no programa Roda Viva da tv cultura, mostrou-se um tremendo embrulhão e com viés mal intencionado, ao mesmo tempo fazia duras críticas as delações da Lava Jato e afagava o juiz Moro, uma vez que o mesmo tem o apoio popular.",0
"Vamos abrir os olhos com esse ministro da capa preeta, já coloca as garras de fora.","Vamos abrir os olhos com esse ministro da capa preeta, já coloca as garras de fora.",0
